Date,Open,High,Low,Close,Adj Close,Volume
2022-05-12,94.290001,97.190002,93.519997,95.500000,92.682129,4099600
2022-05-13,96.559998,99.250000,95.769997,98.269997,95.370392,3984500
2022-05-16,97.760002,98.279999,96.239998,97.309998,94.438721,2811800
2022-05-17,98.839996,99.500000,97.360001,99.120003,96.195313,3343800
2022-05-18,97.860001,98.360001,94.690002,95.110001,92.303642,3181200
2022-05-19,93.610001,96.919998,93.449997,95.900002,93.070313,3671900
2022-05-20,96.480003,97.889999,95.699997,97.620003,94.739578,3235900
2022-05-23,99.080002,99.080002,96.680000,98.110001,95.215103,3024000
2022-05-24,97.660004,98.750000,96.500000,98.360001,95.457741,2168600
2022-05-25,97.599998,98.559998,96.620003,97.519997,94.642525,4443700
2022-05-26,98.120003,100.129997,97.230003,99.529999,96.593208,3645400
2022-05-27,100.690002,102.699997,100.220001,102.699997,99.669678,2482100
2022-05-31,102.279999,102.889999,101.720001,102.389999,99.368820,4122000
2022-06-01,102.320000,103.489998,101.529999,101.989998,98.980637,3182900
2022-06-02,102.389999,103.099998,101.860001,102.900002,99.863777,2296000
2022-06-03,102.139999,102.550003,100.900002,100.940002,97.961609,2366900
2022-06-06,101.129997,102.779999,100.550003,100.860001,97.883972,2371700
2022-06-07,100.300003,101.910004,100.160004,101.760002,98.757423,3503400
2022-06-08,102.199997,103.660004,101.239998,101.379997,98.388611,2791000
